교차로명,시간,차종,1,2,3,4,5,6,7,8,9,10,11,12,위도,경도
제2운천교서편4,13:00,PCU,78,33,68,159,1061,78,1264,100,54,111,56,187,36.65628,127.473221
제2운천교서편4,18:00,대형,0,0,1,0,65,1,96,4,0,5,2,8,36.65628,127.473221
제2운천교서편4,18:00,소형,74,34,130,161,1594,54,1601,186,135,129,61,137,36.65628,127.473221
제2운천교서편4,18:00,PCU,74,34,132,161,1724,56,1793,194,135,139,65,153,36.65628,127.473221
봉명4,8:00,대형,39,12,53,9,40,12,44,6,4,9,9,6,36.64304,127.462452
봉명4,8:00,소형,950,411,926,319,803,362,925,328,220,411,144,204,36.64304,127.462452
봉명4,8:00,PCU,1028,435,1032,337,883,386,1013,340,228,429,162,216,36.64304,127.462452
봉명4,13:00,대형,23,8,20,2,40,11,45,4,3,3,1,4,36.64304,127.462452
봉명4,13:00,소형,745,266,768,211,652,291,559,257,218,352,222,229,36.64304,127.462452
봉명4,13:00,PCU,791,282,808,215,732,313,649,265,224,358,224,237,36.64304,127.462452
봉명4,18:00,대형,44,4,32,5,31,10,27,16,5,6,12,7,36.64304,127.462452
봉명4,18:00,소형,738,267,804,315,937,385,889,358,254,275,225,248,36.64304,127.462452
봉명4,18:00,PCU,826,275,868,325,999,405,943,390,264,287,249,262,36.64304,127.462452
사창4,8:00,대형,24,16,32,9,79,5,83,18,0,9,32,3,36.634887,127.460178
사창4,8:00,소형,935,378,945,294,1181,286,987,266,243,69,353,261,36.634887,127.460178
사창4,8:00,PCU,983,410,1009,312,1339,296,1153,302,243,87,417,267,36.634887,127.460178
사창4,13:00,대형,27,12,16,0,68,4,62,3,0,7,25,2,36.634887,127.460178
사창4,13:00,소형,704,254,800,201,612,250,760,221,184,167,359,200,36.634887,127.460178
사창4,13:00,PCU,758,278,832,201,748,258,884,227,184,181,409,204,36.634887,127.460178
사창4,18:00,대형,20,24,33,14,92,19,80,10,1,8,42,8,36.634887,127.460178
사창4,18:00,소형,785,332,1033,298,1000,271,991,322,182,62,530,176,36.634887,127.460178
사창4,18:00,PCU,825,380,1099,326,1184,309,1151,342,184,78,614,192,36.634887,127.460178
산남4,8:00,대형,39,10,43,8,18,5,9,5,4,23,25,9,36.6155481,127.468843
산남4,8:00,소형,1253,381,971,132,465,354,378,78,28,298,428,94,36.6155481,127.468843
산남4,8:00,PCU,1331,401,1057,148,501,364,396,88,36,344,478,112,36.6155481,127.468843
산남4,13:00,대형,57,5,42,3,0,7,7,3,0,9,4,9,36.6155481,127.468843
산남4,13:00,소형,847,252,846,81,219,207,268,44,32,240,263,65,36.6155481,127.468843
산남4,13:00,PCU,961,262,930,87,219,221,282,50,32,258,271,83,36.6155481,127.468843
산남4,18:00,대형,51,13,48,4,21,9,20,3,4,11,15,3,36.6155481,127.468843
산남4,18:00,소형,1008,400,1103,205,465,267,378,61,49,357,416,75,36.6155481,127.468843
산남4,18:00,PCU,1110,426,1199,213,507,285,418,67,57,379,446,81,36.6155481,127.468843
분평4,8:00,대형,43,20,62,0,15,14,21,14,23,13,30,4,36.6070494,127.4795922
분평4,8:00,소형,530,281,792,110,810,334,1065,387,342,339,572,101,36.6070494,127.4795922
분평4,8:00,PCU,616,321,916,110,840,362,1107,415,388,365,632,109,36.6070494,127.4795922
분평4,13:00,대형,50,23,51,0,10,10,20,12,13,9,10,7,36.6070494,127.4795922
분평4,13:00,소형,454,296,521,123,707,204,758,287,370,126,361,118,36.6070494,127.4795922
분평4,13:00,PCU,554,342,623,123,727,224,798,311,396,144,381,132,36.6070494,127.4795922
분평4,18:00,대형,34,19,35,1,17,11,14,3,14,23,13,3,36.6070494,127.4795922
분평4,18:00,소형,1204,524,583,95,1085,319,1120,434,749,278,266,86,36.6070494,127.4795922
분평4,18:00,PCU,1272,562,653,97,1119,341,1148,440,777,324,292,92,36.6070494,127.4795922
방서4,8:00,대형,30,20,33,1,27,3,29,54,39,3,25,0,36.606125,127.500912
방서4,8:00,소형,369,326,621,44,945,106,937,750,424,180,707,38,36.606125,127.500912
방서4,8:00,PCU,429,366,687,46,999,112,995,858,502,186,757,38,36.606125,127.500912
