"행정구역(시군구)별",2017. 01,2017. 01,2017. 01,2017. 02,2017. 02,2017. 02,2017. 03,2017. 03,2017. 03,2017. 04,2017. 04,2017. 04,2017. 05,2017. 05,2017. 05,2017. 06,2017. 06,2017. 06,2017. 07,2017. 07,2017. 07,2017. 08,2017. 08,2017. 08,2017. 09,2017. 09,2017. 09,2017. 10,2017. 10,2017. 10,2017. 11,2017. 11,2017. 11,2017. 12,2017. 12,2017. 12,2018. 01,2018. 01,2018. 01,2018. 02,2018. 02,2018. 02,2018. 03,2018. 03,2018. 03,2018. 04,2018. 04,2018. 04,2018. 05,2018. 05,2018. 05,2018. 06,2018. 06,2018. 06,2018. 07,2018. 07,2018. 07,2018. 08,2018. 08,2018. 08,2018. 09,2018. 09,2018. 09,2018. 10,2018. 10,2018. 10,2018. 11,2018. 11,2018. 11,2018. 12,2018. 12,2018. 12
"행정구역(시군구)별",총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명)
"동남구",258589,131009,127580,258343,130850,127493,257887,130636,127251,257474,130478,126996,257160,130331,126829,256753,130132,126621,256412,129919,126493,255808,129653,126155,256031,129794,126237,256244,129963,126281,255987,129856,126131,255878,129875,126003,255696,129803,125893,255109,129512,125597,254991,129490,125501,255106,129543,125563,255065,129558,125507,255672,129857,125815,256233,130165,126068,256873,130446,126427,257144,130579,126565,257481,130740,126741,257881,130959,126922,257978,130988,126990
"서북구",360697,183864,176833,363371,185275,178096,365147,186198,178949,366579,186989,179590,367845,187641,180204,368968,188224,180744,370007,188734,181273,372289,189892,182397,373050,190271,182779,373608,190613,182995,374680,191140,183540,375653,191560,184093,377695,192596,185099,380092,193811,186281,381760,194739,187021,382802,195296,187506,384134,195996,188138,384619,196258,188361,385045,196481,188564,385713,196838,188875,386241,197121,189120,387096,197577,189519,387538,197794,189744,388097,198091,190006
"공주시",109750,55138,54612,109567,55060,54507,109340,54905,54435,109234,54841,54393,109100,54778,54322,108966,54692,54274,108981,54702,54279,108799,54636,54163,108778,54618,54160,108669,54565,54104,108608,54517,54091,108432,54437,53995,108281,54367,53914,108113,54299,53814,108014,54272,53742,107839,54146,53693,107678,54052,53626,107526,53983,53543,107558,53996,53562,107495,53952,53543,107495,53931,53564,107463,53924,53539,107558,53979,53579,107581,53979,53602
"보령시",103620,52416,51204,103351,52264,51087,103328,52294,51034,103487,52400,51087,103468,52374,51094,103494,52401,51093,103462,52406,51056,103489,52393,51096,103355,52332,51023,103344,52304,51040,103304,52274,51030,103198,52214,50984,103050,52116,50934,102810,51984,50826,102740,51944,50796,102716,51910,50806,102625,51891,50734,102578,51886,50692,102479,51806,50673,102371,51744,50627,102310,51710,50600,102143,51641,50502,102012,51564,50448,101990,51580,50410
"아산시",303043,155728,147315,303543,156018,147525,304511,156558,147953,305494,157034,148460,306452,157628,148824,307390,158156,149234,308227,158626,149601,308784,158975,149809,309604,159452,150152,310268,159835,150433,310808,160137,150671,311453,160483,150970,311704,160705,150999,311579,160661,150918,311716,160737,150979,311873,160869,151004,311812,160884,150928,312008,160988,151020,311935,160996,150939,311988,161033,150955,311977,161055,150922,311960,161039,150921,312356,161275,151081,312822,161546,151276
"서산시",170810,87812,82998,170825,87841,82984,171012,87989,83023,171102,88047,83055,171191,88115,83076,171321,88171,83150,171388,88241,83147,171448,88296,83152,171505,88300,83205,171554,88340,83214,171625,88383,83242,171678,88359,83319,171730,88370,83360,171696,88409,83287,171760,88469,83291,171903,88535,83368,172290,88732,83558,172556,88890,83666,172780,89024,83756,173056,89191,83865,173294,89312,83982,173717,89545,84172,174008,89707,84301,174162,89793,84369
"논산시",123094,61688,61406,122903,61593,61310,122547,61425,61122,122411,61347,61064,122278,61263,61015,122199,61230,60969,122420,61324,61096,122630,61427,61203,122571,61384,61187,122443,61301,61142,122394,61259,61135,122240,61204,61036,122059,61120,60939,121894,61042,60852,121742,60956,60786,121575,60880,60695,121447,60763,60684,121320,60669,60651,121078,60538,60540,120892,60445,60447,120718,60341,60377,120527,60254,60273,120418,60214,60204,120230,60113,60117
"계룡시",42737,21201,21536,43355,21524,21831,43811,21763,22048,43931,21815,22116,43967,21817,22150,43959,21796,22163,43997,21804,22193,44036,21834,22202,44045,21842,22203,44030,21848,22182,44042,21854,22188,43967,21834,22133,44023,21867,22156,44060,21869,22191,43981,21828,22153,43885,21775,22110,43920,21798,22122,43853,21758,22095,43752,21694,22058,43763,21680,22083,43785,21694,22091,43757,21680,22077,43673,21623,22050,43731,21674,22057
"금산군",54507,27513,26994,54368,27421,26947,54284,27387,26897,54250,27384,26866,54141,27322,26819,54067,27288,26779,53974,27242,26732,53948,27203,26745,53891,27192,26699,53845,27152,26693,53906,27185,26721,53894,27181,26713,53784,27144,26640,53740,27125,26615,53687,27105,26582,53663,27080,26583,53666,27093,26573,53599,27046,26553,53546,27005,26541,53441,26951,26490,53410,26942,26468,53282,26876,26406,53211,26829,26382,53222,26836,26386
"부여군",70064,34783,35281,69946,34704,35242,69909,34684,35225,69836,34629,35207,69749,34593,35156,69652,34550,35102,69663,34563,35100,69502,34462,35040,69440,34438,35002,69354,34409,34945,69234,34317,34917,69086,34259,34827,68966,34201,34765,68800,34138,34662,68725,34088,34637,68706,34067,34639,68596,34012,34584,68478,33936,34542,68457,33916,34541,68403,33899,34504,68321,33849,34472,68271,33829,34442,68214,33788,34426,68078,33721,34357
"서천군",55922,27505,28417,55821,27490,28331,55736,27443,28293,55691,27419,28272,55639,27381,28258,55601,27383,28218,55506,27347,28159,55420,27290,28130,55367,27264,28103,55336,27243,28093,55247,27202,28045,55175,27176,27999,55073,27145,27928,54977,27099,27878,54859,27055,27804,54802,27009,27793,54724,26975,27749,54628,26932,27696,54513,26899,27614,54355,26814,27541,54305,26790,27515,54172,26716,27456,54017,26647,27370,53922,26620,27302
"청양군",32541,16286,16255,32413,16236,16177,32346,16206,16140,32298,16200,16098,32253,16158,16095,32204,16142,16062,32183,16136,16047,32097,16101,15996,32054,16091,15963,32035,16097,15938,32312,16255,16057,32837,16527,16310,32541,16377,16164,32397,16299,16098,32352,16265,16087,32297,16237,16060,32324,16267,16057,32228,16222,16006,32065,16137,15928,32023,16126,15897,32037,16139,15898,31979,16119,15860,32077,16164,15913,32296,16271,16025
"홍성군",100247,49885,50362,100451,49987,50464,100840,50190,50650,101020,50283,50737,101122,50345,50777,101232,50409,50823,101290,50425,50865,101308,50421,50887,101426,50467,50959,101487,50492,50995,101555,50517,51038,101570,50530,51040,101533,50503,51030,101431,50470,50961,101561,50522,51039,101649,50590,51059,101531,50490,51041,101406,50432,50974,101324,50351,50973,101232,50298,50934,101192,50265,50927,101192,50282,50910,101167,50284,50883,101082,50244,50838
"예산군",81174,40737,40437,81064,40695,40369,80858,40557,40301,80782,40515,40267,80657,40444,40213,80555,40409,40146,80474,40371,40103,80430,40322,40108,80428,40328,40100,80438,40332,40106,80386,40304,40082,80338,40280,40058,80360,40314,40046,80396,40315,40081,80428,40329,40099,80415,40280,40135,80424,40292,40132,80384,40280,40104,80349,40283,40066,80285,40229,40056,80260,40243,40017,80240,40238,40002,80145,40186,39959,80083,40171,39912
"태안군",63829,32243,31586,63780,32203,31577,63784,32236,31548,63812,32263,31549,63804,32284,31520,63894,32337,31557,63928,32357,31571,64027,32424,31603,64027,32429,31598,64074,32428,31646,63993,32376,31617,63932,32325,31607,63815,32250,31565,63728,32222,31506,63821,32325,31496,63895,32346,31549,63784,32297,31487,63744,32254,31490,63669,32203,31466,63636,32195,31441,63525,32132,31393,63434,32075,31359,63315,31997,31318,63238,31959,31279
